_TimeStep  _MeanReward
32000  -119.755
64000  -119.556
96000  -116.04
128000  -117.944
160000  -114.178
192000  -113.733
224000  -110.267
256000  -110.064
288000  -110.317
320000  -116.056
352000  -113.437
384000  -109.971
416000  -106.991
448000  -106.215
480000  -106.831
512000  -108.513
544000  -106.844
576000  -109.004
608000  -108.551
640000  -106.875
672000  -103.51
704000  -104.901
736000  -101.729
768000  -102.834
800000  -99.9409
832000  -105.385
864000  -109.169
896000  -114.71
928000  -107.614
960000  -104.928
992000  -108.911
1024000  -108.839
1056000  -109.873
1088000  -110.004
1120000  -108.375
1152000  -108.176
1184000  -109.594
1216000  -109.054
1248000  -107.491
1280000  -107.348
1312000  -105.843
1344000  -98.883
1376000  -99.5704
1408000  -104.228
1440000  -100.708
1472000  -104.349
1504000  -105.8
1536000  -98.3418
1568000  -99.252
1600000  -98.8067
1632000  -103.402
1664000  -101.186
1696000  -96.8942
1728000  -100.533
1760000  -101.287
1792000  -101.996
1824000  -96.0453
1856000  -97.7658
1888000  -100.343
1920000  -105.196
1952000  -115.63
1984000  -112.326
2016000  -118.183
2048000  -113.487
2080000  -117.615
2112000  -107.832
2144000  -113.008
2176000  -105.456
2208000  -101.446
2240000  -103.36
2272000  -104.374
2304000  -101.154
2336000  -101.731
2368000  -105.089
2400000  -104.93
2432000  -100.039
2464000  -98.3231
2496000  -99.7925
2528000  -95.4716
2560000  -106.093
2592000  -113.207
2624000  -101.776
2656000  -135.977
2688000  -142.1
2720000  -135.596
2752000  -140.179
2784000  -91.5862
2816000  -91.614
2848000  -91.5954
2880000  -91.5986
2912000  -91.5973
2944000  -91.6078
2976000  -91.6031
3008000  -91.5951
3040000  -91.5872
3072000  -91.6063
3104000  -91.5546
3136000  -91.6033
3168000  -91.5941
3200000  -91.5751
3232000  -91.5907
