_TimeStep  _MeanReward
32000  -126.503
64000  -127.681
96000  -127.748
128000  -131.908
160000  -144.286
192000  -158.177
224000  -162.555
256000  -161.984
288000  -164.326
320000  -176.572
352000  -176.464
384000  -182.167
416000  -182.758
448000  -174.862
480000  -173.014
512000  -176.681
544000  -186.921
576000  -186.914
608000  -185.404
640000  -192.505
672000  -198.741
704000  -200.4
736000  -198.822
768000  -201.801
800000  -203.112
832000  -191.282
864000  -184.338
896000  -192.536
928000  -190.005
960000  -192.99
992000  -195.783
1024000  -196.145
1056000  -199.744
1088000  -193.675
1120000  -194.519
1152000  -192.126
1184000  -187.484
1216000  -196.957
1248000  -209.236
1280000  -198.416
1312000  -187.944
1344000  -188.782
1376000  -172.3
1408000  -201.79
1440000  -201.604
1472000  -179.326
1504000  -189.374
1536000  -182.283
1568000  -200.952
1600000  -185.913
1632000  -179.971
1664000  -171.178
1696000  -166.157
1728000  -161.347
1760000  -187.585
1792000  -162.702
1824000  -161.652
1856000  -165.398
1888000  -158.217
1920000  -162.272
1952000  -155.728
1984000  -163.172
2016000  -160.262
2048000  -152.028
2080000  -150.422
2112000  -147.952
2144000  -150.631
2176000  -150.769
2208000  -145.534
2240000  -150.782
2272000  -151.854
2304000  -155.474
2336000  -154.583
2368000  -154.664
2400000  -154.646
2432000  -150.301
2464000  -158.165
2496000  -157.296
2528000  -158.989
2560000  -158.311
2592000  -158.903
2624000  -158.647
2656000  -159.016
2688000  -158.174
2720000  -163.279
2752000  -159.701
2784000  -111.588
2816000  -111.575
2848000  -111.593
2880000  -111.591
2912000  -111.574
2944000  -111.614
2976000  -111.58
3008000  -111.578
3040000  -111.586
3072000  -111.587
3104000  -111.583
3136000  -111.592
3168000  -111.586
3200000  -111.761
3232000  -111.598
