_MeanReward,Steps,_mean_obs,_min_obs,_max_obs,_std_obs,_mean_act,_min_act,_max_act,_std_act,_mean_adv,_min_adv,_max_adv,_std_adv,_mean_discrew,_min_discrew,_max_discrew,_std_discrew,_Episode,PolicyLoss,PolicyEntropy,KL,Beta,_lr_multiplier,ValFuncLoss,ExplainedVarNew,ExplainedVarOld
-504.10072233570037,2100,-0.04462530645012987,-2.2789554047680105,2.5637835152271897,0.0661189943832236,0.21687207,-2.178992,2.3365967,0.39510754,-2.7068294695622864e-17,-2.0589809378596744,3.3624875480613032,0.9999955077336493,-1.573662388494285,-2.6974584371457873,0.23232441776027973,0.3750519976613278,20,-0.00427968,1.8272357,0.0019798446,1.0,1.0,0.15571529796109057,0.5853986138308054,0.12493242183655551
-329.3987458256264,1894,0.008119684436744448,-1.4879969521675203,2.3961074462826657,0.041753677070059586,-0.093239166,-2.6068792,2.399168,0.39192766,6.002472952566844e-17,-2.5796737761897686,1.4814572294800061,0.9999976539596207,-1.0360699345308344,-1.9885301468141947,-0.1862488061908698,0.30163378515620853,40,-0.006331406,1.8217411,0.0055763866,1.0,1.0,0.30153893560049927,0.00056142309101892,-2.206751254371745
-362.98836270593455,1738,0.02300299767965062,-1.8292053839732245,2.1295268015317945,0.05227114466355548,-0.008410727,-2.0628748,2.0602148,0.39633355,0.0,-3.009191082373069,2.2957866154587547,0.999992842705128,-1.141314303256575,-2.730212153447803,-0.08701053848870915,0.38360154395617424,60,-0.004126267,1.8156664,0.004986434,1.0,1.0,0.18314183776565268,0.5225729857212699,0.3997200202732831
-290.47850315171627,1857,0.020838113457407194,-2.1038202944831914,2.563408393691905,0.05677474708034705,-0.089931786,-2.326868,2.2708328,0.4015032,-6.122069882693378e-17,-2.6574149954512674,3.504223859126565,0.9999904556997198,-0.9062180377477957,-1.6781110253399385,-0.022917271738435385,0.12714238873337627,80,-0.00425606,1.8173329,0.005459422,1.0,1.0,0.07591495913517694,0.4112671178220558,0.14605738692016257
-284.540885633361,1935,0.011960749941804568,-2.1862829596809368,2.1008504034010334,0.04360705690472209,-0.104664445,-2.5857472,2.2697499,0.38548765,3.672055481964342e-17,-2.8226014716217858,2.816993025880001,0.9999898104884807,-0.894199955170677,-1.7105401649765146,0.043418048301358966,0.17453577342940638,100,-0.0072908644,1.8249341,0.00472797,1.0,1.0,0.08185487480590821,0.5466023806196609,0.37374858830722946
-279.2989150152676,1848,0.01225654044875877,-1.895647096489892,2.1836202674919902,0.045761252406197744,-0.084042154,-2.1705282,2.2025719,0.3763621,0.0,-2.5181994494658713,2.6036657365341394,0.9999904555822298,-0.8675814942679917,-1.8330446705041323,-0.21197671204950025,0.22470934693068764,120,-0.004077602,1.8237011,0.0034117235,1.0,1.0,0.06935150662298913,0.6917502742912012,0.5096100694560647
-281.64211406701247,1924,0.005027167578068185,-2.094080075406965,2.746027518921418,0.04258728995936317,-0.08433458,-2.1844244,1.9279191,0.36947396,5.908879299460293e-17,-2.663313941315917,3.029822486071708,0.999990226320153,-0.8879716809527968,-1.8836443485477765,-0.21362643245851134,0.19577444409891848,140,-0.004432504,1.8177962,0.0031908397,1.0,1.0,0.08088098365956112,0.5880003861037182,0.4787592672724297
-207.18448878856856,2019,-0.004184416207383223,-2.4232759030246145,2.636958640822417,0.040951460756583874,-0.046099756,-2.4738991,2.1792228,0.35720068,3.871208565310105e-17,-3.380029955264307,2.9725967100818154,0.9999895393031861,-0.6350045936777046,-1.5879217041065263,0.20174333894861246,0.1114852519760277,160,-0.0068734386,1.8032835,0.006471999,1.5,1.0,0.06825607596713097,0.40500656788790546,0.12241631479282378
-208.60624241151072,1905,0.012040187999351883,-2.2787829272321782,3.1067381234500604,0.0461911965992261,-0.08003735,-2.064325,2.7888641,0.3752433,-4.4758597528195287e-17,-4.271627193675183,3.79311401407337,0.9999905274302618,-0.6564150393553734,-1.6086252406178991,0.16496907044986753,0.0894243023238248,180,-0.006096196,1.7984173,0.005090057,1.5,1.0,0.05799497042299807,0.35195419499236746,-0.07017034751313633
-163.11373630888687,1934,0.007186649476524903,-1.641034517823133,2.67294221819765,0.04740462219433024,-0.09010062,-2.1191936,2.1286592,0.37969345,-7.34790833257601e-17,-2.7195444233562274,3.962437084932453,0.9999897534674613,-0.49464384762541547,-1.2017942546848355,0.3552789448485125,0.08634366737112038,200,-0.0071815345,1.7973623,0.005325477,1.5,1.0,0.08122798274326216,0.14454266909706848,-0.1339577290739591
-170.20127116519794,2003,0.016378162142972493,-0.6643348768513694,1.719352047145258,0.03421971059972531,-0.06669211,-1.976121,2.4328,0.36338013,2.837914071932502e-17,-3.5037832230967605,3.9591199344493284,0.9999811234672903,-0.5381743484647632,-1.320976569810949,-0.21941011406279165,0.03335120161745676,220,-0.008967751,1.7974589,0.003613079,1.5,1.0,0.0225593796440795,0.3474359884053936,0.24693262853623255
-145.23238607619137,1791,0.010740659462056296,-0.6367540635921581,1.568627246794429,0.029824476616240894,-0.07384137,-2.346207,2.2161417,0.36889857,-4.364025736103351e-17,-7.988568027216567,2.9499606783465997,0.9999818645089329,-0.5107542156466329,-1.45931298688448,-0.21766198449371366,0.032824229717324446,240,-0.015588526,1.7981656,0.006856585,2.25,1.0,0.020035591780702255,0.38987076890540073,0.14727854712769683
-140.9131882472323,1876,-0.012084955780803113,-0.7863003080466988,2.445328404737793,0.03025357992829571,-0.050924018,-2.5346963,2.2325094,0.38024676,-1.515016494157996e-17,-3.1926580038185133,4.950130319407493,0.9999768608730015,-0.47487891268097265,-0.8586095740256763,-0.20410513547296194,0.012853029840295372,260,-0.005248304,1.7965393,0.0026238223,2.25,1.0,0.009548219210493132,0.2918251317437841,-0.005886275724732215
-128.94972876608406,1754,0.02163817148088714,-1.3599724257900194,1.592462549564658,0.03144795867320384,-0.072377525,-2.3835187,2.1872683,0.38155025,3.2407878483927033e-17,-3.003546281222698,6.850938232039818,0.9999852336321529,-0.4348396600185607,-0.6915619762015638,0.296342756427887,0.021536310518863514,280,-0.0049193194,1.7934124,0.0020199886,2.25,1.0,0.020441232475615998,0.05453881244032288,-1.2117374707189352
-130.18489897156354,1830,0.01062922998615291,-0.6409512488085642,1.5942066513085036,0.029540328886111886,-0.04948114,-1.9321958,2.20793,0.3609053,-7.765494379891805e-18,-6.751778846599614,3.8589072240619804,0.9999789325018555,-0.4481002458345879,-0.9767046809423426,-0.2203467011477274,0.022410293831731605,300,-0.0024768515,1.7886974,0.000848414,1.5,1.0,0.015843373032526798,0.29669646524799054,-0.24778689997578218
-126.80912206241592,1881,0.005684289818894467,-0.5564205064550561,1.5981565495739507,0.027858444895164813,-0.027762633,-2.0926447,2.051143,0.37199762,-4.5329680112287093e-17,-6.8306210762718536,2.5309997528672876,0.9999759229823373,-0.44613412496465704,-1.1584407896271025,-0.2334413736152919,0.019941380927180938,320,-0.0039015026,1.7840438,0.0017707752,1.5,1.0,0.012891592135637203,0.35497810612599634,0.05780475864525669
-115.86030518923383,2104,0.011488291101265032,-0.5862756795240015,1.5999284529150424,0.027552452187218864,-0.05369755,-2.1741357,1.9814575,0.38062721,-1.215757532669373e-16,-3.220359100034423,3.3290820564691255,0.9999701574574515,-0.3782881194528677,-0.6795828500374725,-0.031069607918374542,0.011874672013630547,340,-0.0033614757,1.7807695,0.0024163874,1.5,1.0,0.008224334088412971,0.47004619238389345,0.06418535709874518
-130.05181341900715,2139,0.028802233557795695,-1.4854557590348019,2.1292997811470626,0.03524022826181492,-0.051300224,-2.2756703,2.2112195,0.36870086,3.9862145063680234e-17,-4.134290870280402,5.122101781346207,0.9999775989734373,-0.4176530001620166,-0.9674433436271718,-0.12644536056158004,0.023515539413135743,360,-0.010679366,1.7813509,0.006997394,2.25,1.0,0.01666906667844197,0.29562238849552036,0.02468255220239879
-100.14149640976517,2055,0.014986889390470255,-0.5991964680971027,1.6098943664374428,0.030032244579998743,-0.02118923,-2.4479449,2.140873,0.38435417,-5.5322062151637973e-17,-3.240526200937857,3.6924709427003495,0.9999657904857563,-0.3279339156824486,-0.6152882056150439,-0.07275603482281578,0.01274647252214466,380,-0.00405053,1.7840791,0.0027798847,2.25,1.0,0.007819621138163126,0.4398040202683018,0.31612884175967926
-99.65779408050152,1965,-0.004718028343528254,-0.9732431590558787,1.6117659299643234,0.03391177896394266,-0.017814225,-2.3997257,2.1209939,0.38587376,2.892794852967329e-17,-3.059174526670868,5.817937808527135,0.9999753218937608,-0.3319722647298439,-0.6485907612394974,0.29946796503177947,0.02328409389056059,400,-0.010820938,1.7862338,0.0050594807,2.25,1.0,0.013640280583597219,0.417406156475847,0.2526689955032897
-92.07915206694358,2319,0.0027941341059860587,-1.7435564971506619,1.5950283613471106,0.030295657641932167,-0.015596224,-2.2762625,2.3386064,0.38397008,2.4512039181029762e-17,-4.361269499703059,4.614880568813801,0.9999683749791652,-0.2966714612989291,-0.6703086144020086,-0.01002563311427892,0.0115242404650544,420,-0.0057202736,1.7873701,0.0032499246,2.25,1.0,0.006088040296900704,0.4735405938739504,0.1760539847151269
-84.8832798963804,2103,0.01639104607510029,-1.7759770399441246,1.593819797657928,0.0333879825691988,0.013732688,-2.199573,2.2219796,0.40415826,6.75742021645364e-18,-4.446278834450916,4.527533938525799,0.9999687269684611,-0.28259918877180745,-0.6231374861233024,-0.0038651857364346183,0.011993877520345067,440,-0.0050816056,1.7881021,0.0015955395,2.25,1.0,0.0053196726749790355,0.5672889852883274,0.4452099572052105
-91.94258826208292,2860,0.07129376697307568,-0.7234328343850831,1.5872708691225657,0.09148938510851153,-0.0042401413,-2.4587002,2.545354,0.41870952,-3.9750642560005605e-17,-3.061995540944787,5.708121779552081,0.999977678312669,-0.2815691498683729,-0.8182955417965708,0.28263981310261777,0.027444189811719397,460,-0.0045089526,1.7852924,0.0018855024,2.25,1.0,0.01612448043034386,0.4134287277513363,-0.45864300374776934
-80.34771059092154,2054,0.009850763223580222,-0.9443697246325011,1.44584157897046,0.026068717940447936,0.020770712,-2.4620483,2.386889,0.4095888,-1.3837248992407015e-17,-5.26300443346775,2.4345623852246483,0.9999640957216709,-0.2749743896950526,-0.5332340607019593,-0.0037128156802843744,0.01246275264733377,480,-0.0039653345,1.7815516,0.0020306043,2.25,1.0,0.006305355286347485,0.5175622602460636,0.498498052602129
-65.63956202678813,2319,0.006370948809353712,-1.2249202118426277,1.4488215344383504,0.032383698751230844,0.038661707,-2.6509643,2.4783483,0.40981793,-1.2256019590514881e-17,-3.6936884173279445,7.675047639456561,0.9999710613718754,-0.19319090003379652,-0.5454259914511491,0.2972352115225089,0.020145349851915764,500,-0.0046696723,1.7766389,0.0020072442,2.25,1.0,0.008272147707109464,0.6230209776351401,0.33919427557033344
-66.98491479170437,2313,0.020456204822194565,-1.6309846816238731,1.4435330724275939,0.03014570040728624,0.030862145,-2.1233068,2.4270124,0.40879056,2.4575624237271082e-17,-3.963258687832259,3.617223985262864,0.9999657723050013,-0.2256314995828205,-0.5355007175982944,0.06537548048995881,0.013284197616544178,520,-0.006232928,1.7850864,0.0030556084,2.25,1.0,0.0064546977495201505,0.5145408837286815,0.28580696963511776
-95.83354730935092,4666,0.0795397463339025,-1.380935042869168,2.154907149115718,0.08508615657139902,0.04353811,-2.5771632,2.9384573,0.4371408,-2.436494593262238e-17,-6.519434739424233,3.2312307544888643,0.9999807708784554,-0.2844204280803351,-1.2835243351219026,0.20044850729984007,0.07409940875100036,540,-0.0017411258,1.7919036,0.00077204505,1.5,1.0,0.029473917060605124,0.6072470769405252,0.2248983393159416
-60.972272454199036,2538,0.02585188043237625,-1.240386806622564,1.348276691212594,0.03264769074102343,0.059406616,-2.6283298,2.4926054,0.40109462,3.359540121797164e-17,-4.300381820420495,3.151725836797805,0.9999755475694466,-0.20360282958079462,-0.6289105240547209,0.15115611959779598,0.018777831371112136,560,-0.007803357,1.7895155,0.0038100048,1.5,1.0,0.012973023355507436,0.3667411830871802,0.08076763077656457
-53.268775693661,2564,0.01840474405371797,-1.410217796148588,1.3369883905649635,0.03211288279016982,0.058572326,-2.645283,2.2456205,0.41635436,-1.66273651113908e-17,-3.925401904733471,3.9151778206880854,0.9999653156901299,-0.16654209708505707,-0.5773890654060048,0.10747432862406757,0.015135679064250665,580,-0.0050795157,1.7817191,0.0048667947,1.5,1.0,0.004588950563589767,0.7086239821124567,0.49322214194334446
-80.9326037398624,4838,0.04223622440856392,-1.4513088006363701,1.34054544291814,0.07245962400739057,0.07590385,-3.5677252,2.6580293,0.4333523,-1.1749363137827204e-17,-3.5207163314486256,4.068512093506679,0.9999821584644075,-0.27187108538133853,-0.9443834639000415,0.2356402584086157,0.0713694783376926,600,-0.0029972347,1.7773057,0.0019883611,1.5,1.0,0.022915970308609444,0.6877737504273892,0.33247558066323746
-40.69648302784151,4047,0.022988882615605166,-1.323273332608492,1.2969796266553626,0.05755559782889803,0.07260938,-2.6946778,2.625375,0.45188826,-8.427489823692811e-17,-4.63004196270617,7.514862673463658,0.999978080876417,-0.15157190904087314,-0.9658520907269477,0.34178719521797957,0.04985672493620445,620,-0.0030131917,1.7705461,0.0018252073,1.5,1.0,0.0261839536850139,0.5004562441904423,0.08140131278626328
-52.49388422575545,4588,0.04718967392255099,-1.454902067522273,1.2290752095519475,0.0659504842950908,0.064980686,-2.8634648,2.691732,0.44645488,1.2389585627900614e-17,-6.698332188321278,5.824128385550151,0.999980730843514,-0.19039511248166024,-1.3778548990269357,0.358115180478788,0.07535203731539641,640,-0.002634578,1.7673105,0.002058588,1.5,1.0,0.028675974345665576,0.61959752281796,0.36371401553740157
-104.68800150829813,7149,0.06290939839925812,-1.3315218061186935,1.1807616296419683,0.07532127270880568,0.039682887,-2.9249387,2.6894052,0.44391397,1.9878101434049522e-17,-5.844833731402065,3.957544538339305,0.9999829743171063,-0.28610208825622285,-1.2115443642724448,0.37447088767158665,0.0993528962563513,660,-0.0013870716,1.763936,0.00061693403,1.0,1.0,0.03551396534902382,0.6426197441431011,0.32596225594407136
-130.55214522384807,7205,0.046532656953422236,-1.3456410417150089,1.1176908794996785,0.06783324593787803,0.09077174,-2.6088147,2.7940955,0.4578988,0.0,-4.114713621348113,4.582915527157153,0.9999812962113832,-0.3520661705184749,-1.1652649334754197,0.2801422367062459,0.10743836093219623,680,-0.0022498993,1.7602494,0.0015989938,1.0,1.0,0.028435439369016845,0.7580371785149905,0.6742685387468808
-99.40219000837814,8133,0.04800323626750374,-1.4690469719292891,1.1999954733683944,0.06471836645755422,0.06653175,-2.8211665,2.8090537,0.433878,-1.7473078464529697e-17,-5.22874966131829,6.544734612619636,0.9999819514175431,-0.2510660024523157,-1.0840763272423422,0.33473935711438796,0.07382717239880496,700,-0.0025081662,1.7557487,0.002523901,1.0,1.0,0.03583509248024348,0.5262084296513592,0.1856414261638305
-110.74545995535955,11915,0.06045769851513871,-1.2954033085770527,1.1714337097175365,0.05751976368206979,0.036594834,-2.9160838,2.5928977,0.43559283,5.247818778589074e-17,-4.9489552307337,7.0412261243738845,0.9999805402036498,-0.20103959239404218,-1.165123256085653,0.34959743278609023,0.06257930237937312,720,-0.0021394365,1.7497914,0.001933632,1.0,1.0,0.033735866833698676,0.4642396933315841,0.028470132801115655
-109.09823948137655,13981,0.05671962466559476,-1.2099303173498757,1.073979441424507,0.05557768991690758,0.04545567,-3.362353,2.590094,0.42694438,-8.131524048466922e-18,-5.7342000674532905,8.827578588240431,0.9999804193896596,-0.1648314446284609,-1.044646116039678,0.46367233558306387,0.05625152134247504,740,-0.0026130734,1.7457063,0.002747652,1.0,1.0,0.025298361038735055,0.5508466435660154,0.3013154130350564
-59.188117359265085,14710,0.0656971703395481,-1.4496211249488595,1.2190262706539474,0.05350635061480412,0.030265858,-2.8177762,2.7377038,0.42654902,0.0,-4.957435626967097,8.245419188052853,0.9999756498888384,-0.10295873862367817,-0.8976512485180835,0.3997317688504394,0.03448552046267732,760,-0.0011037297,1.741452,0.0011492702,0.6666666666666666,1.0,0.013892083792742288,0.62121973183985,0.3847973615341116
-64.696001982021,17359,0.06457251575501083,-1.4333868613319523,1.2304033255903681,0.05215827452235823,0.006151226,-2.8847597,3.2497702,0.43241054,1.3098316460811801e-17,-10.219042803254784,7.296093376584772,0.9999739455656423,-0.09984135753216163,-0.8805676605509801,0.46128939477230735,0.03129005109307948,780,-0.003081766,1.7386978,0.0040230565,0.6666666666666666,1.0,0.012175842067527153,0.6114320273969459,0.30247704169577927
-111.33932036219149,15714,0.057519366325370774,-1.2519111299078847,1.1036680644683616,0.04988834340917635,0.037456818,-2.6260102,2.4970386,0.42101127,7.234748486802598e-18,-5.212943300453246,5.427796375224759,0.9999727943058626,-0.16237338009640045,-1.0447849713764013,0.3936925466348692,0.05575959709876868,800,-0.0022944333,1.7372593,0.0025529389,0.6666666666666666,1.0,0.01796324943922188,0.6938878815122236,0.513492778428773
-89.64807314408814,17713,0.05522902152181181,-1.1728794118802934,1.3460708627544982,0.04747166965024933,0.03554599,-2.6422958,2.9298873,0.41735026,1.8452529692860954e-17,-8.86855795128335,6.424755739628908,0.9999743298020543,-0.1225756955555037,-1.1118585135641026,0.46936442963110625,0.03917431564991569,820,-0.0016739757,1.7357092,0.0025921902,0.6666666666666666,1.0,0.014575073999865058,0.6296362408272355,0.3754627949581718
-83.64785501289957,17761,0.05785106909826975,-1.5013716546559874,0.9990000000000008,0.0467713521240807,0.03214902,-2.5888531,2.7400303,0.41306302,1.2801850990554138e-17,-6.527172485960411,8.155587185459046,0.9999693105209969,-0.12046211764264016,-0.8106194195998634,0.37446626383042364,0.03337470232145479,840,-0.0013242114,1.7347043,0.0013222687,0.4444444444444444,1.0,0.010893884087416306,0.6746219887247722,0.5592839205371012
-59.00566524226393,18857,0.05836073506610915,-1.228496325478501,0.9990000000000008,0.043930040573080587,0.024810383,-2.5392435,2.7246795,0.41119218,1.2057786256733948e-17,-5.643500307160906,6.577878500132244,0.999963665582292,-0.08611848123660912,-0.7459447987217146,0.42404158422153715,0.021317880315025486,860,-0.0020569237,1.7306571,0.0029361371,0.4444444444444444,1.0,0.006574645525631859,0.692379982717847,0.4810434077167083
-64.3180404278983,19424,0.0634496467106617,-1.0143746452639406,0.9990000000000008,0.04294807677618081,0.044091597,-2.8840218,2.5071547,0.4020609,1.1705811132785835e-17,-6.227542049917447,8.126055042811554,0.9999596637924817,-0.09100169546416255,-0.7267987000072925,0.3772782441856494,0.021088987727071212,880,-0.0021839226,1.7292804,0.0024024853,0.4444444444444444,1.0,0.004485644599396643,0.7873142148656038,0.6289305443816746
-61.12771731470864,19712,0.06265343604944319,-1.0581593516789618,0.9990000000000008,0.04643157858707275,0.022544254,-2.714147,2.8523638,0.41683573,5.767392335715099e-18,-8.419652168814501,10.34455277180517,0.9999608204948266,-0.08912663184868679,-0.7014358789754381,0.38282315633281194,0.022822565239814272,900,-0.0023414236,1.732196,0.002999295,0.4444444444444444,1.0,0.006517738489233207,0.7208105301259641,0.4963708308159154
-50.70893946585272,20000,0.07397422329712758,-1.1655356445874223,0.9990000000000008,0.046582145929912784,0.024693094,-2.8369293,2.829224,0.4179013,-1.2789769243681803e-17,-5.340173754823736,7.791641162292149,0.9999513822283792,-0.07740128177193499,-0.5257487941387893,0.4072615850445052,0.019079091099603658,920,-0.0043400596,1.7347109,0.0076095182,0.6666666666666666,1.0,0.0038624735057034244,0.7992377294436086,0.7080393646220976
-51.283461706380706,19494,0.07884101586548169,-1.0390550319308691,0.9990000000000008,0.044842099498165644,0.025267333,-2.8287752,2.8027189,0.4184488,-7.289860836771316e-18,-10.348903980173006,7.402792196685446,0.9999619782312599,-0.08826215968047903,-0.9579413148754164,0.4467030986930411,0.030794508055172795,940,-0.0014921499,1.7311964,0.0019681184,0.6666666666666666,1.0,0.008369389266351987,0.7348876640517664,0.45739898018653435
