_MeanReward,Steps,_Episode,_mean_discrew,_min_discrew,_max_discrew,_std_discrew,_mean_adv,_min_adv,_max_adv,_std_adv,_mean_obs,_min_obs,_max_obs,_std_obs,_mean_act,_min_act,_max_act,_std_act,PolicyLoss,PolicyEntropy,KL,Beta,_lr_multiplier,ValFuncLoss,ExplainedVarNew,ExplainedVarOld
-103.667,1700,3,-0.0696251307672,-0.510529089693,0.00199548928922,0.0109549441558,0.0,-6.22977810654,2.92435221973,0.999976964545,0.0426044030279,-2.09686332526,2.26776504672,0.0502148937554,0.199118,-2.42785,2.60517,0.381485,-0.0345,3.66099,0.0122202,1.5,1.0,0.00202117093266,0.815905861861,0.322399119188
-114.007,1802,6,-0.0909450753712,-0.509858515201,-0.000314150413033,0.0171574373898,-6.30892551174e-17,-5.15772265748,2.27718207047,0.999973358585,0.0249950913812,-1.93138822139,2.13878120526,0.0468742629504,0.0423059,-2.17576,2.28436,0.38707,-0.0227762,3.67194,0.00876359,2.25,1.0,0.00451380776128,0.739210107719,-0.0860879120403
-82.6519,4800,9,-0.0431075819884,-0.0763377522159,-0.000102051977592,0.000137007761218,2.6645352591e-17,-4.65999548675,4.87272762804,0.999956513049,0.0174010583614,-1.15327423139,1.599,0.0340590795081,0.00711695,-2.50274,2.41171,0.385311,-0.00488114,3.68835,0.00237372,2.25,1.0,0.00048517119356,-2.21629936585,-15.4270736063
