_MeanReward,Steps,_Episode,_mean_discrew,_min_discrew,_max_discrew,_std_discrew,_mean_adv,_min_adv,_max_adv,_std_adv,_mean_obs,_min_obs,_max_obs,_std_obs,_mean_act,_min_act,_max_act,_std_act,PolicyLoss,PolicyEntropy,KL,Beta,_lr_multiplier,ValFuncLoss,ExplainedVarNew,ExplainedVarOld
-135.061,1283,5,-0.238167371998,-0.516504784127,-0.0609203708306,0.0285476907949,1.32915242855e-16,-4.40119671048,2.21179460778,0.999989137553,0.0563486781096,-1.095625913,2.61337003953,0.0551106266829,0.0484055,-2.35733,2.77079,0.39045,-0.0166807,3.71646,0.00918288,1.5,1.0,0.00737401100469,0.741859615009,-0.337637893782
-121.661,764,10,-0.34817274747,-0.5,-0.159367705348,0.0128420588625,3.72011903539e-17,-2.91219679437,2.90025268399,0.999977341088,-0.00648824524323,-1.10888444023,1.18590427192,0.0441726510636,0.004962,-1.80471,2.25452,0.402206,-0.0303232,3.78106,0.0123405,2.25,1.0,0.0120710673078,0.427598744292,-0.628319231332
-124.304,888,15,-0.332887735367,-0.500110582606,-0.136453554092,0.0142424216338,-1.60032147694e-17,-3.20282921083,2.55212195729,0.999973045349,-0.0104685716431,-1.08183148996,1.13332331337,0.0368040470947,-0.0365797,-2.36904,2.44988,0.423083,-0.0164473,3.83017,0.00760062,3.375,1.0,0.00745278961896,0.484491786657,0.0479549458129
