_TimeStep  _MeanReward
4096  -126.588
8192  -121.434
12288  -122.23
16384  -124.165
20480  -127.332
24576  -133.437
28672  -130.676
32768  -127.056
36864  -130.931
40960  -130.875
45056  -125.123
49152  -137.203
53248  -136.765
57344  -131.497
61440  -156.572
65536  -145.57
69632  -172.243
73728  -156.983
77824  -163.023
81920  -163.119
86016  -155.361
90112  -163.612
94208  -150.778
98304  -163.984
102400  -170.413
106496  -140.811
110592  -141.811
114688  -140.45
118784  -125.525
122880  -143.501
126976  -136.261
131072  -123.752
135168  -138.632
139264  -144.25
143360  -143.714
147456  -148.989
151552  -183.868
155648  -143.529
159744  -163.07
163840  -142.273
167936  -154.005
172032  -185.877
176128  -125.511
