_TimeStep  _MeanReward
4096  -107.353
8192  -105.971
12288  -107.242
16384  -111.857
20480  -124.663
24576  -124.613
28672  -121.165
32768  -120.478
36864  -114.158
40960  -107.368
45056  -110.447
49152  -118.418
53248  -116.443
57344  -114.36
61440  -112.878
65536  -111.254
69632  -121.564
73728  -115.751
77824  -112.743
81920  -107.88
86016  -109.546
90112  -107.992
94208  -104.854
98304  -113.025
102400  -106.801
106496  -104.537
110592  -108.713
114688  -100.26
118784  -108.301
122880  -105.171
126976  -103.5
131072  -104.184
135168  -96.6061
139264  -105.512
143360  -103.996
147456  -107.51
151552  -103.716
155648  -102.975
159744  -109.659
163840  -101.81
167936  -99.0874
172032  -104.476
176128  -90.8851
