_MeanReward,Steps,_TimeStep,_mean_discrew,_min_discrew,_max_discrew,_std_discrew,_mean_adv,_min_adv,_max_adv,_std_adv,_mean_obs,_min_obs,_max_obs,_std_obs,_mean_act,_min_act,_max_act,_std_act,PolicyLoss,PolicyEntropy,KL,Beta,_lr_multiplier,ValFuncLoss,ExplainedVarNew,ExplainedVarOld
-103.5,4096,126976,-0.0644671587983,-0.0947216970048,0.00132754305712,0.00032868030429,-1.73472347598e-17,-2.96075870941,12.3061637532,0.999892629843,0.0278611451566,-1.1884238256,1.599,0.0353356610123,0.094147,-6.64358,6.8317,3.05781,-0.153392,7.88099,0.0114998,1.5,1.0,0.00109906416375,-0.036846680924,-1.43898759141
-104.184,4096,131072,-0.064752860859,-0.0956413092449,0.000356493954314,0.000376622536863,1.56125112838e-17,-2.59038495075,10.465819209,0.999920883479,0.0262761415528,-0.876357582142,1.599,0.0347800118523,0.0555426,-6.48928,8.02042,3.06203,0.0084235,7.92685,0.0402521,2.25,1.0,0.000753089476725,-0.0320303171127,-2.54825239526
-96.6061,4096,135168,-0.0596453847239,-0.0876784272795,0.000792152235372,0.00028637633147,7.4593109467e-17,-4.0098245558,3.55101344451,0.999793263585,0.0317292870269,-1.05779690573,1.599,0.0342504859614,0.101546,-8.40906,7.56201,3.15714,-0.773478,7.95703,0.0564401,3.375,1.0,0.000220444749727,0.300478132331,0.40504536168
-105.512,4096,139264,-0.0637874027812,-0.106035851145,-0.000347632456978,0.00031287512754,0.0,-2.70963631067,6.69840084742,0.999852347343,0.0268125707887,-1.09333864056,1.599,0.0337651274407,0.115676,-7.63377,8.03031,3.2154,-0.0199165,8.00674,0.0412054,5.0625,1.0,0.00110335855615,0.11761668551,-0.676630779954
-103.996,4096,143360,-0.064421160636,-0.0896452083555,0.00204741743814,0.000316880182721,-2.08166817117e-17,-4.77366015268,5.52400802051,0.999818314233,0.0267564204465,-0.983768426048,1.599,0.0335437477632,0.0843899,-7.15123,7.23781,3.30221,0.198333,8.03926,0.0421303,7.59375,1.0,0.00107581703627,0.190242266963,-0.20465097292
-107.51,4096,147456,-0.0725602940955,-0.500455212929,0.00120889435928,0.00308076110029,1.38777878078e-17,-11.023286397,2.06687241349,0.999924774996,0.0296552068609,-3.29512318958,1.599,0.0391883787603,0.0881221,-8.61742,9.06237,3.48771,1.15062,8.12315,0.0948899,11.390625,1.0,0.00124126794633,-0.168864418277,0.441178812842
-103.716,4096,151552,-0.0640814811235,-0.0881747012597,0.000170277841244,0.000304067582627,3.29597460436e-17,-3.80636213015,11.0403478308,0.999868125678,0.0285558991575,-1.12150504841,1.599,0.0331473964169,0.121771,-7.37249,8.36635,3.4756,0.424865,8.15777,0.056239,17.0859375,1.0,0.0013929312183,-0.0993326351057,-0.990032730919
-102.975,4096,155648,-0.0648357863581,-0.0939701481145,0.00112702109707,0.000371421814758,1.73472347598e-17,-2.62437763624,14.8652137271,0.999898365399,0.0277063693322,-1.37112582475,1.599,0.0350260192164,0.101981,-9.4703,9.33297,3.54287,1.94857,8.17186,0.111366,25.62890625,1.0,0.000874005453774,0.107673407158,-0.940492231571
-109.659,4096,159744,-0.0668248342201,-0.110527738333,0.00419865976173,0.000463965823819,3.46944695195e-17,-3.70793452442,6.93504766793,0.999807085339,0.0278722489622,-1.00500515966,1.599,0.0375757673917,0.058678,-9.31939,7.31262,3.67633,-6.88764,8.15388,0.093617,35.0,0.6666666666666666,0.00168761682457,0.173586617151,0.165313947
-101.81,4096,163840,-0.0631724193546,-0.0885750190954,-7.07704821252e-05,0.00033022385454,1.38777878078e-17,-2.57190000518,18.4081998711,0.999797805694,0.0265683087432,-1.15601701443,1.599,0.0316846239539,0.0763414,-11.481,8.43933,3.57296,-61.7069,8.12385,0.135879,35.0,0.4444444444444444,0.001446586692,0.239383818364,0.254296638903
-99.0874,4096,167936,-0.0611689579657,-0.105064832366,-0.000162852782523,0.000351965650153,6.93889390391e-18,-4.23081018332,7.01804908974,0.999766537667,0.0340233776547,-0.972286468115,1.599,0.0331527286139,0.028227,-13.2792,9.38505,3.7879,-8.57266e+08,8.17168,0.465533,35.0,0.2962962962962963,0.000949456799458,-0.0507932816839,0.0864115517453
-104.476,4096,172032,-0.0622891501664,-0.123338631187,0.000852926648795,0.000403353519052,1.90819582357e-17,-3.50814143335,6.51409707286,0.999756593662,0.0309793466207,-1.17871356167,1.599,0.037226784586,-0.0453593,-15.9945,10.411,4.10549,-389101.0,8.18927,0.745629,35.0,0.19753086419753085,0.00061628495127,0.125740900787,0.659728691532
-90.8851,4096,176128,-0.055395464934,-0.0797698837634,0.0087959193741,0.0002390646126,-5.55111512313e-17,-3.87689745086,9.62222747546,0.999786548161,0.0356048635852,-1.18972037086,1.599,0.0307495412069,0.024826,-17.5844,12.8824,4.02803,nan,nan,nan,35.0,0.19753086419753085,0.000659776957544,0.331838857641,-0.544835472318
