_MeanReward,Steps,_Episode,_mean_discrew,_min_discrew,_max_discrew,_std_discrew,_mean_adv,_min_adv,_max_adv,_std_adv,_mean_obs,_min_obs,_max_obs,_std_obs,_mean_act,_min_act,_max_act,_std_act,PolicyLoss,PolicyEntropy,KL,Beta,_lr_multiplier,ValFuncLoss,ExplainedVarNew,ExplainedVarOld
-130.89485,14437,20,-0.11240841253933867,-0.5047830987033727,0.00108716460784059,0.01019123216784097,0.0,-6.031915194457587,3.2004296889603485,0.9999815142315474,0.02493503121778295,-1.4294790385476706,1.5989999999999347,0.05199478234204001,-0.00953076,-7.0766983,6.892789,2.7014923,-0.001206773,7.6838694,0.0003926604,0.6666666666666666,1.0,0.003048906877568227,0.7008422121748221,-2.4179282717394943
-128.48123,9143,40,-0.15153742102873882,-0.5017700973907996,0.006589480202271816,0.016835029629364232,1.2434303589808163e-17,-6.417020381381925,6.557866628287251,0.9999666321193424,0.029469301156314423,-1.5802848563435592,1.5989999999999347,0.05605706657907232,-0.017257987,-6.4846144,7.489784,2.7150748,-0.0016577563,7.6957045,0.00069072004,0.4444444444444444,1.0,0.006003007328066346,0.6496692952220093,0.3271481310967277
-121.77586,9646,60,-0.12709282180199666,-0.5081679630704169,0.01163451612219425,0.015245595469434384,-8.839428601618497e-18,-8.474391902051606,5.410294237816541,0.9999576993008462,0.030205621710564637,-1.8922248891427618,1.6970365535453196,0.05303189461595403,-0.016352333,-7.666444,7.109549,2.727278,-0.0020244764,7.665443,0.00077112875,0.2962962962962963,1.0,0.0023832790177029475,0.8492872007360345,0.6790618832451374
-122.88158,8197,80,-0.144788729914094,-0.5153603815122738,0.002987247693216235,0.017691032436311545,1.733665330633403e-17,-7.6682641956033315,6.1890701855895776,0.9999581241165452,0.025592833423622455,-2.2306159947746598,1.5989999999999347,0.0548295361168851,0.000955193,-6.680224,7.1323285,2.7065096,-0.0033466332,7.687711,0.0011534485,0.19753086419753085,1.0,0.0024574442012726,0.8649623877461877,0.5709364560311202
-118.18845,12145,100,-0.10211047951622605,-0.5001121046827641,0.004488438211972737,0.009951820198415335,-1.9891686303699798e-17,-5.176740240561678,8.551300515223934,0.999950612149645,0.028101125611330355,-1.3567838023445267,1.5989999999999347,0.052582461805386914,0.006254915,-7.12209,6.485341,2.701651,-0.0023860068,7.690261,0.0016242312,0.1316872427983539,1.0,0.001563397080252834,0.8507191939115128,0.5965629835737587
-118.34094,12220,120,-0.10366850730128799,-0.5,0.007930473676994163,0.010381667710105439,-1.3955012813618988e-17,-9.540201926324114,9.428626427806883,0.999946997669347,0.029493637204196753,-1.785107687695209,2.2274433195137306,0.05283190887242882,0.019594556,-6.7333665,7.904789,2.736805,-0.0066560414,7.639541,0.013668499,0.1316872427983539,1.0,0.000978181609011359,0.9072670751557776,0.7730837681741701
-122.185875,9080,140,-0.13146167362329572,-0.5,0.0008471427918993868,0.016329640381707203,0.0,-8.662109487951719,6.407478758865387,0.9999520627466164,0.03590594186416913,-1.3531755483128076,1.7458819843589906,0.055437011343358746,0.052499104,-6.5787354,6.5252686,2.705762,-0.004650723,7.5924807,0.0029727255,0.0877914951989026,1.0,0.001791873654382391,0.8907358941481621,0.7265368757798332
-114.66937,12130,160,-0.09719143912128454,-0.5075624794484767,0.012303355300534823,0.010292587334193042,4.686184572201815e-18,-9.982758311868272,10.646820800932238,0.9999367128366907,0.027965801559414995,-1.5669794649967341,2.098738387452888,0.05105736565164599,0.030252144,-6.675838,7.2875037,2.6135058,-0.006613267,7.603629,0.0035771905,0.05852766346593507,1.0,0.0009619828680507743,0.9073511065715981,0.8424833984355683
-116.373024,13619,180,-0.09611801560223787,-0.5,0.0003852409806859214,0.010296521580441951,-2.0869160313094944e-18,-9.617795476687325,8.884098199627395,0.9999436787029113,0.022264125306482942,-1.6899233684660904,1.9730415401117196,0.04290661451618095,0.038632855,-6.806282,6.873033,2.6550677,-0.009674833,7.59952,0.00872857,0.05852766346593507,1.0,0.0012722985653006293,0.8796458105948229,0.7132936371993958
-111.660416,14437,200,-0.08961566778433062,-0.5,0.001931211530334772,0.00866023524284217,1.5749371437503088e-17,-8.851271760758198,11.092401363944518,0.9999461419213806,0.022281648133327368,-1.6485859948035169,1.5989999999999347,0.04113648076424874,0.010082688,-6.3489323,7.0284333,2.6267705,-0.010699987,7.583501,0.00861952,0.05852766346593507,1.0,0.0013859933768179157,0.8440187682159697,0.675453700315575
