_MeanReward,Steps,_mean_obs,_min_obs,_max_obs,_std_obs,_mean_act,_min_act,_max_act,_std_act,_mean_adv,_min_adv,_max_adv,_std_adv,_mean_discrew,_min_discrew,_max_discrew,_std_discrew,_Episode,PolicyLoss,PolicyEntropy,KL,Beta,_lr_multiplier,ValFuncLoss,ExplainedVarNew,ExplainedVarOld
-1213.7640765674682,4000,0.046216212659315234,-0.8544574206877689,0.8855775786937825,0.08815241388718545,-0.041197278,-2.2040594,2.2715604,0.38036868,2.1316282072803005e-16,-1.979588314808956,2.812244032343104,0.9999951215191639,-2.269458177617533,-5.6612884183440695,-0.000608607626025483,1.6039578790903943,20,-0.00058854837,0.9176494,0.00021428903,0.6666666666666666,1.0,1.2486151362774152,0.2263104621302925,0.003958056385497177
-1198.4584588904506,4000,0.0222090771664916,-0.7597351999991855,0.748751891648129,0.07740244405625406,-0.022144636,-2.2337978,1.8491651,0.3762508,-2.6645352591003756e-17,-1.441662657314504,3.726590300796609,0.9999972357742416,-2.2198854807628408,-5.553587815387023,-0.0014217769889005838,1.5160278162826086,40,-0.00068413874,0.91614306,0.0015922145,0.6666666666666666,1.0,0.09681664950031713,0.9361670061484647,0.23583558771928592
-1037.8558711864348,4000,0.056086102996773926,-0.7030266776508107,0.7749869970647779,0.08082542653446045,-0.0051132087,-2.0534935,2.0594258,0.37518167,-5.684341886080802e-17,-3.5796116296009655,3.4241630620409778,0.9999910242580307,-1.932912866318433,-5.462232382634591,-0.001625653203817912,1.2610513558989989,60,-0.0017343531,0.912588,0.0040546455,0.6666666666666666,1.0,0.061327641971367274,0.9543762408001715,0.9008978258142799
-1153.5658468795539,4000,0.02015936511318009,-0.6824326426246383,0.7486849006554498,0.0742006743805676,-0.034913458,-2.0440319,2.356465,0.39168528,-2.1316282072803006e-17,-4.013704663804167,2.947272106235676,0.9999895686208188,-2.136605465259817,-5.760270374455522,-0.0005408986182652234,1.5139928730527268,80,-0.00037370424,0.9180268,0.0005050752,0.4444444444444444,1.0,0.06223993433011142,0.9598103383655251,0.9451754481577448
-1235.6941554729003,4000,0.017696829038078517,-0.658905699401745,0.7226999414591784,0.0652116821476539,0.022079082,-3.0012293,2.2450612,0.3913022,0.0,-3.6963518261021138,3.2591353133358125,0.9999891645553098,-2.2400228376198257,-5.902547660565467,-0.001304054956508019,1.8731402735513547,100,-0.0059921113,0.9249355,0.0071841087,0.6666666666666666,1.0,0.05578395730349852,0.9707235126083356,0.9483745394393035
-1210.0439418250955,4000,0.04410703589996344,-0.6656921690273685,0.7562258182891969,0.0758977377895116,0.035604563,-2.0931687,2.4029737,0.3959054,0.0,-3.2009246576635952,2.815461800569021,0.9999862037757093,-2.232852396842312,-5.636778082291758,-0.0021694530483809555,1.5722690809891147,120,-0.00074614,0.92967606,0.0023308648,0.6666666666666666,1.0,0.04206705532151842,0.9747276003408631,0.9592397888917643
-1130.4145210379406,4000,0.032513897045698396,-0.6623843028805976,0.7334335021771812,0.08232509354784878,-0.038841717,-2.3572896,2.5915353,0.42559925,-1.4210854715202004e-17,-3.058524221144887,3.876609609331862,0.9999854602969065,-2.083823485465807,-5.63381893148954,-0.00667769856872159,1.3227915107285138,140,-0.0013757509,0.9283345,0.0032087525,0.6666666666666666,1.0,0.032705160952576945,0.9754168972272942,0.9614856007404625
-1165.9972495998309,4000,0.052033825601790006,-0.6367187836883718,0.7219902109373236,0.07581043190412882,0.104703546,-2.13451,2.3138385,0.40544286,-7.105427357601002e-18,-2.9353643528565536,2.9632586104303456,0.9999845142949603,-2.1461412258371095,-5.763574328444506,-0.003761470165009643,1.513952231451723,160,-0.0014365162,0.92896044,0.0024329342,0.6666666666666666,1.0,0.04657067354465521,0.9697117730821708,0.9671520005574399
-1102.7110347334528,4000,0.03192127383232597,-0.6368751719801533,0.7034051825984698,0.07384498674984748,0.018575614,-2.1775239,2.2783852,0.40084425,-2.1316282072803006e-17,-3.8808735989053162,3.982394755107898,0.9999818444674127,-2.02379317988552,-5.701812403678438,-0.003060651582688661,1.4167863257694557,180,-0.0013915533,0.92558193,0.0031357564,0.6666666666666666,1.0,0.028303476486127275,0.9801544136269638,0.9754033753897934
-1149.487216142746,4000,0.0838457244816463,-0.6301513559219988,0.702943260049358,0.06912036780273396,0.12479323,-2.4325984,2.6647778,0.40352628,0.0,-3.045590639538378,3.9721300319936894,0.9999818773522047,-2.1463264463708494,-5.859302709956817,-0.0006116439232398906,1.4586819813946017,200,-0.002684028,0.92327964,0.003716238,0.6666666666666666,1.0,0.024837490965422555,0.9832130996247145,0.9801464620828597
