_MeanReward,Steps,_Episode,_mean_obs,_min_obs,_max_obs,_std_obs,_mean_act,_min_act,_max_act,_std_act,_mean_adv,_min_adv,_max_adv,_std_adv,_mean_discrew,_min_discrew,_max_discrew,_std_discrew,PolicyLoss,PolicyEntropy,KL,Beta,_lr_multiplier,ValFuncLoss,ExplainedVarNew,ExplainedVarOld
-94.6806,30508,300,0.0280533591061,-1.76777587476,1.92945807262,0.0387799018681,-0.0338096,-3.03398,2.8714,0.405582,-4.4717518443e-17,-18.6265515461,16.0767137486,0.999879442655,-0.0537967390895,-0.5,0.00067731312483,0.000768768350034,-0.00349016,3.71349,0.00233713,1.0,1.0,9.40150830368e-05,0.878261686826,0.224919768881
-91.7571,32000,320,0.0291629764313,-2.29060769508,1.95077409894,0.0391293897415,-0.0290311,-2.87578,3.16687,0.407122,-6.88338275268e-18,-9.41473746011,21.0607821074,0.999815464885,-0.051096341138,-0.0862360261185,0.0161646263662,0.000275659599406,-0.00854472,3.73145,0.00696118,1.5,1.0,8.03782131992e-05,0.76878842194,-1.66177918851
-93.6223,30477,340,0.0300876665733,-1.63960335517,1.98215819541,0.0392162712653,-0.030837,-3.19266,2.84805,0.420675,-5.22235038915e-17,-19.8225081936,14.029914102,0.999831518159,-0.0533082286565,-0.5,0.00560727124641,0.000704122559723,-0.00208196,3.7409,0.000837945,1.0,1.0,9.8492799497e-05,0.881359509667,0.576058495731
-90.8324,32000,360,0.0288767483426,-1.98704059835,1.99264640525,0.0386776390891,-0.0376506,-2.94414,3.46312,0.41995,-3.5527136788e-18,-12.9511580796,25.7167254406,0.999795405947,-0.0511986730361,-0.0862569202161,0.0100053328417,0.000293974738788,-0.00284053,3.72102,0.00191047,1.0,1.0,8.60002098977e-05,0.718856209896,-0.228428453798
-91.5608,30470,380,0.0299623882281,-1.97714252081,2.007656544,0.0394402572679,-0.0286856,-2.76982,3.47785,0.420552,-4.85043941707e-17,-27.2902494153,21.4577099022,0.999867695801,-0.0515542288449,-0.5,0.0059626764546,0.000653764496679,-0.00496182,3.71709,0.00402641,1.0,1.0,0.000132271946181,0.797752968241,-0.0604934309106
-95.1578,27427,400,0.0300734368938,-1.54519974392,2.01452586571,0.0395868837562,-0.0343512,-2.75737,3.13842,0.415556,-1.13989427839e-17,-21.0879192986,12.2627929107,0.999905194895,-0.054750241063,-0.5,0.00327920633542,0.00159267160098,-0.00624049,3.70875,0.00300707,1.0,1.0,0.000242899462429,0.849647350777,0.310334412297
-92.1608,28938,420,0.0304384437842,-1.47888919923,2.03033911653,0.0396576137059,-0.0348404,-2.83382,3.03557,0.417399,-6.87511113459e-18,-10.2418281527,18.9084755378,0.999923777343,-0.0525286807007,-0.5,0.00541058364195,0.00107283739317,-0.00889242,3.7211,0.00848963,1.5,1.0,0.000221175969253,0.813439359173,-1.24287470868
-90.4694,32000,440,0.029760552378,-1.42765655344,2.02967877644,0.0393212759008,-0.0357861,-2.8013,3.14821,0.413972,-1.7763568394e-17,-20.1634878752,12.2013650372,0.999842931465,-0.0508575304084,-0.0836167778615,0.00211923693875,0.000247481383146,-0.00284472,3.73783,0.00142565,1.0,1.0,3.81049298731e-05,0.853982352925,-1.34820548205
-95.4055,28921,460,0.0309217469811,-2.01373277616,2.07524352533,0.0417205373746,-0.0366286,-2.83121,2.87813,0.417206,-2.94820816331e-18,-21.2519044049,12.4102033644,0.999860818713,-0.0536024894325,-0.5,0.00186427297423,0.000958000631512,-0.00304687,3.73358,0.00197995,1.0,1.0,0.000134324569641,0.895455686087,0.500676499711
-94.3883,30464,480,0.0311027651851,-1.84098976138,2.35599367812,0.042196600693,-0.0342683,-3.00312,3.22119,0.423078,-9.32960524895e-18,-12.7454762305,18.1266319624,0.999894079893,-0.052205551841,-0.5,0.000809747719893,0.000573518550721,-0.00652194,3.7448,0.00682714,1.5,1.0,6.85095686754e-05,0.881059849746,-0.631779652855
