_Episode  _MeanReward
20  -125.531
40  -126.653
60  -124.371
80  -126.554
100  -128.097
120  -129.163
140  -149.812
160  -152.594
180  -159.007
200  -151.546
220  -160.377
240  -145.108
260  -146.569
280  -148.702
300  -143.421
320  -142.867
340  -140.629
360  -139.17
380  -137.029
400  -138.437
420  -134.844
440  -133.552
460  -134.498
480  -134.191
500  -133.058
520  -132.317
540  -135.942
560  -135.079
580  -136.439
600  -128.398
620  -126.843
640  -126.97
660  -126.982
680  -125.639
700  -126.175
720  -122.813
740  -119.15
760  -120.019
780  -116.164
800  -111.295
820  -102.767
840  -102.458
860  -97.5298
880  -91.6056
900  -90.0442
920  -104.513
940  -93.3701
960  -88.4264
980  -86.3747
1000  -79.399
1020  -75.7835
1040  -66.9441
1060  -64.0577
1080  -55.5743
1100  -49.2468
1120  -47.6392
1140  -51.8705
1160  -44.7046
1180  -37.1951
1200  -38.3391
1220  -27.8147
1240  -26.3912
1260  -16.6852
1280  -11.6572
1300  -7.81007
1320  -1.73151
1340  12.0873
1360  11.0363
1380  20.186
1400  28.1988
1420  34.034
1440  34.8699
1460  40.7926
1480  51.1538
1500  52.7692
1520  54.8851
1540  56.7695
1560  64.9247
1580  63.4583
1600  70.4323
1620  69.9069
1640  77.4927
1660  68.6696
1680  80.2157
1700  84.325
1720  84.4746
1740  82.2245
1760  84.385
1780  93.4583
1800  95.4075
1820  99.5922
1840  95.6391
1860  103.448
1880  104.919
1900  111.383
1920  118.284
1940  108.372
1960  114.574
1980  106.852
2000  116.819
2020  122.049
2040  106.51
2060  112.349
2080  103.586
2100  117.831
2120  121.081
2140  120.166
2160  121.042
2180  133.7
2200  121.089
2220  128.141
2240  128.625
2260  125.825
2280  118.917
2300  116.171
2320  122.947
2340  113.657
2360  108.891
2380  129.085
2400  132.455
2420  132.735
2440  140.848
2460  130.721
2480  141.587
2500  144.249
2520  127.221
2540  145.141
2560  141.061
2580  143.083
2600  122.872
2620  139.831
2640  127.453
2660  136.372
2680  117.668
2700  138.187
2720  124.628
2740  153.132
2760  142.547
2780  151.285
2800  156.023
2820  142.194
2840  145.374
2860  161.193
2880  140.892
2900  164.878
2920  163.031
2940  163.062
2960  167.39
2980  176.021
3000  169.444
3020  165.886
3040  189.195
3060  187.386
3080  171.104
3100  168.905
3120  183.575
3140  179.275
3160  171.011
3180  173.118
3200  193.289
3220  188.245
3240  174.777
3260  170.534
3280  183.02
3300  171.205
3320  183.003
3340  180.352
3360  175.447
3380  158.631
3400  194.117
3420  174.097
3440  181.441
3460  173.316
3480  191.431
3500  172.016
3520  207.596
3540  198.776
3560  194.218
3580  192.477
3600  188.825
3620  134.242
3640  68.586
3660  -4.68084
3680  -56.3377
3700  -80.2131
3720  -108.623
3740  -46.6854
3760  -18.1305
3780  -38.2546
3800  -30.3555
3820  -29.0858
3840  -58.3114
3860  -30.1052
3880  -34.3043
3900  -62.2104
3920  -47.7943
3940  -42.2734
3960  -22.1838
3980  -53.7998
4000  -31.7801
4020  -25.3191
4040  -75.4091
4060  -39.675
4080  -16.008
4100  -12.1027
4120  -46.2867
4140  -15.5192
4160  -6.78514
4180  -6.66358
4200  27.0646
4220  50.5377
4240  59.3525
4260  64.4953
4280  60.0265
4300  109.092
4320  104.307
4340  131.852
4360  138.278
4380  138.842
4400  139.458
4420  144.876
4440  136.184
4460  165.991
4480  143.945
4500  152.173
4520  155.181
4540  164.982
4560  175.58
4580  181.734
4600  183.328
4620  184.343
4640  193.365
4660  188.824
4680  204.635
4700  210.252
4720  204.407
4740  188.01
4760  204.326
4780  200.789
4800  211.357
4820  216.172
4840  219.351
4860  208.798
4880  216.95
4900  222.482
4920  225.07
4940  224.352
4960  223.953
4980  227.65
5000  228.649
5020  231.646
5040  221.718
5060  231.091
5080  228.057
5100  229.558
5120  232.844
5140  236.223
5160  234.943
5180  231.352
5200  234.598
5220  234.347
5240  221.389
5260  227.241
5280  238.371
5300  236.423
5320  236.449
5340  223.785
5360  238.568
5380  230.64
5400  232.763
5420  235.99
5440  235.674
5460  219.951
5480  225.577
5500  238.618
5520  240.446
5540  227.784
5560  212.282
5580  223.466
5600  223.143
5620  237.008
5640  240.908
5660  228.899
5680  229.841
5700  239.661
5720  242.21
5740  240.499
5760  241.795
5780  241.194
5800  241.364
5820  242.693
5840  243.645
5860  243.673
5880  245.33
5900  243.528
5920  244.408
5940  243.526
5960  245.615
5980  231.685
6000  247.484
6020  244.028
6040  238.633
6060  245.943
6080  244.289
6100  244.292
6120  247.182
6140  234.105
6160  246.929
6180  246.325
6200  247.314
6220  243.825
6240  244.288
6260  247.503
6280  247.812
6300  247.361
6320  245.729
6340  247.32
6360  247.076
6380  247.998
6400  243.199
6420  248.336
6440  247.31
6460  250.481
6480  249.517
6500  250.273
6520  249.348
6540  249.603
6560  249.634
6580  250.382
6600  250.593
6620  250.803
6640  251.349
6660  249.832
6680  252.388
6700  252.208
6720  253.163
6740  251.351
6760  252.224
6780  252.033
6800  253.203
6820  253.638
6840  254.314
6860  253.951
6880  245.788
6900  241.664
6920  252.512
6940  252.826
6960  253.831
6980  253.531
7000  237.319
7020  253.542
7040  238.036
7060  253.163
7080  251.713
7100  254.931
7120  254.695
7140  254.595
7160  254.301
7180  254.177
7200  233.306
7220  232.717
7240  253.913
7260  254.204
7280  248.363
7300  241.254
7320  241.229
7340  242.146
7360  240.963
7380  240.451
7400  242.555
7420  243.556
7440  242.468
7460  241.703
7480  241.743
7500  242.227
7520  241.995
7540  244.786
7560  244.293
7580  243.654
7600  245.556
7620  247.539
7640  247.942
7660  247.974
7680  248.39
7700  247.485
7720  248.721
7740  249.453
7760  249.181
7780  249.875
7800  250.856
7820  252.437
7840  253.055
7860  253.366
7880  241.617
7900  253.952
7920  254.158
7940  254.551
7960  255.344
7980  255.304
8000  255.435
8020  255.554
8040  247.604
8060  255.307
8080  254.16
8100  228.698
8120  240.746
8140  255.706
8160  254.832
8180  255.012
8200  255.857
8220  255.493
8240  239.5
8260  256.28
8280  255.081
8300  248.964
8320  255.379
8340  242.992
8360  249.313
8380  248.449
8400  256.912
8420  256.216
8440  255.968
8460  255.976
8480  254.704
8500  255.556
8520  255.2
8540  254.716
8560  255.518
8580  255.919
8600  256.49
8620  257.296
8640  256.778
8660  257.971
8680  257.292
8700  256.996
8720  257.862
8740  257.257
8760  256.356
8780  257.358
8800  257.797
8820  257.311
8840  258.407
8860  256.98
8880  257.602
8900  257.408
8920  258.546
8940  257.85
8960  258.278
8980  249.649
9000  246.936
9020  258.02
9040  258.643
9060  258.4
9080  257.963
9100  251.964
9120  243.838
9140  259.239
9160  258.991
9180  255.993
9200  257.591
9220  257.15
9240  253.123
9260  259.049
9280  257.964
9300  258.433
9320  259.448
9340  259.18
9360  258.876
9380  257.726
9400  258.077
9420  252.523
9440  260.246
9460  259.168
9480  258.826
9500  260.192
9520  259.883
9540  260.493
9560  257.9
9580  260.731
9600  260.465
9620  262.051
9640  262.134
9660  262.224
9680  248.205
9700  262.044
9720  261.095
9740  262.203
9760  262.337
9780  263.321
9800  262.585
9820  261.91
9840  262.281
9860  262.635
9880  263.483
9900  263.455
9920  263.492
9940  262.691
9960  248.128
9980  262.931
10000  263.252
10020  264.058
10040  263.693
10060  263.859
10080  264.989
10100  264.118
10120  263.418
10140  242.706
10160  264.24
10180  264.11
10200  264.044
10220  264.481
10240  264.77
10260  256.606
10280  262.842
10300  236.423
10320  263.423
10340  264.301
10360  265.004
10380  264.917
10400  265.332
10420  264.777
10440  265.853
10460  255.648
10480  265.472
10500  264.707
10520  265.236
10540  264.786
10560  264.818
10580  265.033
10600  265.556
10620  266.618
10640  264.412
10660  265.351
10680  266.439
10700  265.738
10720  264.476
10740  266.649
10760  266.297
10780  266.601
10800  266.277
10820  266.701
10840  267.016
10860  265.913
10880  267.682
10900  248.752
10920  267.049
10940  266.955
10960  266.705
10980  266.655
11000  267.324
11020  267.637
11040  267.639
11060  266.564
11080  266.719
11100  268.088
11120  266.764
11140  267.677
11160  268.031
11180  252.258
11200  268.29
11220  258.642
11240  259.526
11260  267.768
11280  267.461
11300  267.094
11320  268.469
11340  267.996
11360  268.043
11380  268.995
11400  268.622
11420  269.095
11440  267.887
11460  268.384
11480  268.659
11500  268.767
11520  269.017
11540  269.878
11560  269.585
11580  269.78
11600  269.671
11620  270.105
11640  269.837
11660  269.22
11680  269.462
11700  270.591
11720  270.504
11740  270.182
11760  270.917
11780  270.328
11800  270.689
11820  271.07
11840  270.396
11860  256.206
11880  268.694
11900  268.121
11920  267.448
11940  269.938
11960  270.351
11980  253.597
12000  228.379
12020  251.163
12040  251.235
12060  226.501
12080  223.754
12100  239.566
12120  234.725
12140  219.632
12160  218.575
12180  239.95
12200  209.663
12220  216.304
12240  214.444
12260  220.579
12280  247.581
12300  204.53
12320  212.268
12340  231.673
12360  231.563
12380  236.786
12400  229.619
12420  233.056
12440  229.372
12460  259.736
12480  242.83
12500  226.095
12520  235.617
12540  219.884
12560  250.516
12580  260.077
12600  249.295
12620  242.087
12640  227.026
12660  246.97
12680  244.392
12700  247.958
12720  257.018
12740  232.515
12760  241.479
12780  255.478
12800  262.932
12820  251.798
12840  262.095
12860  211.8
12880  242.444
12900  211.605
12920  265.802
12940  265.466
12960  254.054
12980  252.295
13000  254.74
13020  262.464
13040  258.84
13060  251.945
13080  265.69
13100  267.158
13120  266.857
13140  266.793
13160  267.521
13180  244.465
13200  268.497
13220  267.535
13240  269.096
13260  259.063
13280  263.835
13300  269.277
13320  248.86
13340  270.413
13360  258.173
13380  269.851
13400  268.951
13420  269.438
13440  260.536
13460  269.716
13480  261.118
13500  270.622
13520  262.453
13540  270.272
13560  270.213
13580  270.306
13600  270.54
13620  270.903
13640  271.754
13660  272.152
13680  272.205
13700  272.876
13720  263.361
13740  273.009
13760  272.93
13780  272.116
13800  272.082
13820  272.54
13840  273.389
13860  273.919
13880  273.523
13900  273.682
13920  261.741
13940  273.05
13960  273.829
13980  273.587
14000  273.601
14020  273.362
14040  270.048
14060  273.832
14080  273.043
14100  274.29
14120  273.908
14140  274.634
14160  274.142
14180  274.207
14200  274.773
14220  263.41
14240  274.308
14260  274.254
14280  256.708
14300  274.348
14320  274.084
14340  274.412
14360  273.514
14380  262.265
14400  274.326
14420  273.432
14440  274.01
14460  274.534
14480  274.594
14500  274.185
14520  274.671
14540  274.619
14560  275.36
14580  275.356
14600  275.346
14620  275.847
14640  275.144
14660  275.044
14680  274.748
14700  275.226
14720  274.737
14740  275.213
14760  275.554
14780  275.467
14800  257.149
14820  275.377
14840  274.829
14860  275.55
14880  274.641
14900  275.263
14920  275.725
14940  275.928
14960  276.459
14980  276.617
15000  276.138
15020  276.151
15040  275.834
15060  275.862
15080  276.339
15100  276.696
15120  275.4
15140  276.112
15160  276.678
15180  277.065
15200  277.272
15220  276.899
15240  266.848
15260  276.793
15280  262.967
15300  277.263
15320  276.973
15340  277.006
15360  277.561
15380  276.892
15400  276.63
15420  277.202
15440  276.101
15460  277.443
15480  277.419
15500  277.428
15520  277.532
15540  277.182
15560  277.762
15580  276.497
15600  277.092
15620  276.871
15640  277.213
15660  276.636
15680  277.338
15700  277.585
15720  276.866
15740  276.902
15760  277.342
15780  278.225
15800  277.606
15820  277.014
15840  277.728
15860  277.759
15880  278.1
15900  278.232
15920  277.758
15940  263.204
15960  277.857
15980  277.593
16000  277.45
16020  277.2
16040  278.36
16060  278.268
16080  277.682
16100  278.384
16120  278.063
16140  277.865
16160  277.558
16180  277.582
16200  277.88
16220  278.224
16240  278.791
16260  278.473
16280  278.615
16300  278.4
16320  278.18
16340  278.961
16360  279.131
16380  278.509
16400  278.58
16420  278.551
16440  278.0
16460  278.633
16480  278.063
16500  278.674
16520  272.678
16540  279.062
16560  265.34
16580  278.649
16600  278.807
16620  278.541
16640  279.423
16660  279.579
16680  279.183
16700  278.962
16720  279.273
16740  279.664
16760  279.319
16780  279.294
16800  280.022
16820  279.256
16840  278.955
16860  279.692
16880  279.75
16900  279.293
16920  280.019
16940  279.852
16960  279.767
16980  279.811
17000  279.881
17020  280.112
17040  280.262
17060  270.538
17080  280.731
17100  280.178
17120  279.952
17140  280.996
17160  279.801
17180  264.594
17200  280.36
17220  280.799
17240  267.79
17260  280.612
17280  280.237
17300  280.321
17320  280.33
17340  279.778
17360  280.021
17380  279.959
17400  280.615
17420  279.681
17440  280.624
17460  280.604
17480  280.194
17500  280.911
17520  280.729
17540  280.985
17560  266.425
17580  280.596
17600  280.094
17620  279.934
17640  280.47
17660  280.422
17680  280.488
17700  280.711
17720  281.337
17740  281.124
17760  280.516
17780  280.364
17800  281.088
17820  281.166
17840  280.854
17860  281.573
17880  281.49
17900  280.334
17920  281.586
17940  281.371
17960  281.469
17980  281.072
18000  281.338
18020  266.188
18040  281.308
18060  281.461
18080  281.518
18100  280.942
18120  281.753
18140  281.863
18160  281.808
18180  282.335
18200  282.05
18220  281.614
18240  281.795
18260  281.754
18280  282.495
18300  282.0
18320  281.478
18340  281.818
18360  282.122
18380  281.914
18400  281.796
18420  281.857
18440  281.989
18460  282.293
18480  281.828
18500  282.78
18520  282.078
18540  282.409
18560  282.3
18580  282.904
18600  282.617
18620  282.697
18640  282.525
18660  282.397
18680  282.156
18700  282.948
18720  282.549
18740  282.086
18760  282.682
18780  282.157
18800  283.105
18820  282.545
18840  282.66
18860  282.821
18880  283.001
18900  283.424
18920  283.067
18940  283.146
18960  282.382
18980  282.803
19000  282.774
19020  282.814
19040  268.063
19060  283.037
19080  283.062
19100  283.606
19120  283.603
19140  283.753
19160  283.314
19180  283.627
19200  283.335
19220  283.854
19240  283.984
19260  267.68
19280  283.733
19300  284.053
19320  283.738
19340  283.845
19360  283.864
19380  283.769
19400  284.184
19420  283.651
19440  283.644
19460  283.874
19480  284.243
19500  284.378
19520  284.078
19540  268.434
19560  284.206
19580  284.121
19600  284.135
19620  284.175
19640  284.03
19660  284.084
19680  284.032
19700  284.384
19720  284.414
