_MeanReward,Steps,_Episode,_mean_discrew,_min_discrew,_max_discrew,_std_discrew,_mean_adv,_min_adv,_max_adv,_std_adv,_mean_obs,_min_obs,_max_obs,_std_obs,_mean_act,_min_act,_max_act,_std_act,PolicyLoss,PolicyEntropy,KL,Beta,_lr_multiplier,ValFuncLoss,ExplainedVarNew,ExplainedVarOld
-118.56,356,5,-0.463832150113,-0.514653789392,-0.367867099203,0.00229917785241,7.9836262445e-17,-2.29638043086,2.67509220717,0.999986925026,-0.110498461367,-2.18733475791,2.88010759457,0.0934294806916,-0.0469259,-1.99783,2.1309,0.387711,-0.0476864,3.66887,0.0125457,1.5,1.0,0.0219800446749,-4.93642740737,-5.06317758106
-124.188,428,10,-0.458994415072,-0.51189354441,-0.333646563,0.00262042183255,3.32029315776e-17,-2.37060674634,1.79418478959,0.999987697495,-0.0208856732778,-0.845302502991,1.00409740623,0.0429080263255,0.0325717,-1.90168,2.24431,0.419391,-0.0290387,3.6427,0.0120267,2.25,1.0,0.0333245497378,-11.59021623,-4.92247758314
-122.652,411,15,-0.465512762275,-0.511211701008,-0.363379374858,0.00161775833682,1.38305155379e-16,-2.12810402061,2.08351286177,0.999987467237,0.0113169381221,-0.774629950718,0.968557901919,0.0453279442878,0.0239585,-2.75301,2.31233,0.431022,-0.0205593,3.64767,0.0075386,3.375,1.0,0.0108521535603,-4.60455868987,-32.834404137
-123.08,364,20,-0.476801602348,-0.515150133593,-0.413866755203,0.000578406760629,-1.95204048286e-17,-2.9989753943,1.95342618289,0.999983613775,0.00648255754168,-1.02304086725,1.05348333778,0.0480894646502,0.0421964,-2.07544,2.33932,0.443761,-0.0334224,3.66328,0.00819938,5.0625,1.0,0.00286153812029,-3.41167354665,-15.6060973971
-117.883,260,25,-0.489177604394,-0.504784404542,-0.452105717397,0.000136127361468,-6.83214169e-18,-2.76425308391,2.85977646473,0.999950996256,0.00930048192488,-0.683812843766,1.11212499563,0.0445431775231,0.0329318,-2.14025,2.33985,0.397271,-0.0373111,3.72689,0.00904294,7.59375,1.0,0.00490950569882,-22.8274231136,-91.4184408282
-119.693,294,30,-0.486595806835,-0.513068779695,-0.433530403089,0.000427427101784,-7.25043607918e-17,-1.82832445995,3.18312318858,0.999972584452,0.0407352040654,-0.825989165269,1.09788053042,0.045246048077,-0.00444407,-2.34078,2.65978,0.410393,-0.0269551,3.75419,0.00458772,7.59375,1.0,0.00609016092264,-4.92294077226,-23.3503732273
-122.619,299,35,-0.497011075943,-0.529442495472,-0.454276379767,0.000362827840265,-5.94099277391e-17,-3.37651748873,2.31563858273,0.999957188485,-0.0085494664327,-1.75640424416,1.23840516186,0.0521127650175,0.0131373,-2.20824,2.37305,0.486194,-0.0134314,3.76786,0.00174658,7.59375,1.0,0.00990883738801,-15.180791153,-41.927707746
-121.252,425,40,-0.440571786507,-0.509770300584,-0.334985809605,0.00299723391401,-1.67186526061e-17,-2.57625899993,2.41299871252,0.999975679194,-0.0202666971705,-0.758492644385,0.951706532112,0.0496999468549,0.0170127,-2.80823,2.14224,0.454149,-0.011634,3.76349,0.00163714,7.59375,1.0,0.00317747447815,0.0719896178111,-3.69003231317
-123.952,464,45,-0.46060576555,-0.522096432994,-0.364912661872,0.00164403992681,0.0,-2.54806364342,2.52686808274,0.999961962381,-0.00999005539463,-1.08599819203,0.902693383714,0.0441583844045,-0.000929347,-2.49939,2.78472,0.436498,-0.00931378,3.76831,0.0013258,5.0625,1.0,0.0111986176733,-1.70631517854,-3.67501633412
-119.76,298,50,-0.485695460541,-0.504601081833,-0.4403606335,0.000238073876804,2.02671585703e-16,-2.68757277938,2.36723667474,0.99995215152,-0.0152691512576,-0.878786509739,0.813995273597,0.0433228878268,0.0177732,-2.32856,2.84004,0.452382,-0.0161974,3.77402,0.00307951,5.0625,1.0,0.0025193889928,-9.2652548696,-11.003835482
-125.62,393,55,-0.479810004849,-0.523121956718,-0.417089543333,0.000787499981558,-1.8079967831e-17,-1.84988908942,4.57690837501,0.999969843815,-0.0177390671471,-1.66103499213,1.15110127892,0.0490928777414,0.0304409,-2.09115,2.02824,0.447655,-0.0300559,3.7596,0.00479584,5.0625,1.0,0.00954360164462,-5.49791679918,-8.33270493616
-123.604,361,60,-0.480089929,-0.508999129011,-0.42246240421,0.00040476848844,5.90478727778e-17,-2.12943842491,2.713008055,0.999973354284,0.00147809413242,-0.999600901553,0.913770587948,0.0458138775891,0.000241295,-2.25619,1.96442,0.419812,-0.0211979,3.83433,0.004686,5.0625,1.0,0.00342460309719,-5.04730331995,-34.5815518
-121.315,373,65,-0.464763167916,-0.510014286566,-0.341164774804,0.00193377237741,0.0,-3.17721609277,2.89220283151,0.999965069688,-0.00569488995719,-0.761626464156,0.96714811461,0.0472763088798,0.000434411,-2.21885,2.58233,0.452712,-0.0111035,3.83556,0.00241299,5.0625,1.0,0.0101920214036,-0.996580234912,-8.38178722386
-118.481,320,70,-0.468139691283,-0.500181854675,-0.375517057761,0.00130329920152,5.55111512313e-17,-1.73155832908,3.82638904187,0.999971959339,0.0135478113126,-0.870941701904,1.37318653683,0.044244208426,0.0466466,-2.73596,2.16968,0.434374,-0.0214558,3.85738,0.00387557,5.0625,1.0,0.00284201682846,-1.16952040767,-14.2153034442
-121.68,355,75,-0.476089390875,-0.519385668791,-0.393314857684,0.000758992981608,-2.50191104141e-17,-3.07461958839,2.17696153928,0.999970801725,-0.00847396620427,-0.909875264968,1.09605456312,0.0489970790157,-0.00418136,-2.27149,2.80668,0.449635,-0.0168947,3.86424,0.00392172,5.0625,1.0,0.00213953906923,-0.103669553505,-2.74224294371
-125.072,340,80,-0.492382049109,-0.526164711457,-0.428456499204,0.000485689817005,6.2694947273e-17,-2.33864704969,5.33467413447,0.999933057967,-0.0117118063484,-1.21725520348,1.00807657327,0.0437737866136,-0.0129374,-2.49256,2.2927,0.463105,-0.100739,3.88111,0.0132023,7.59375,1.0,0.00378071535318,-0.892613929806,-4.95669898715
-125.407,367,85,-0.48345506091,-0.512202672744,-0.42987106241,0.000360700975735,1.93608374867e-17,-2.14593919342,2.41483714769,0.999929338841,-0.00173392512579,-1.00358343858,0.805439093386,0.0441930195764,-0.00731897,-2.86138,2.40822,0.490884,-0.0109088,3.87451,0.00196627,7.59375,1.0,0.00191898324986,-1.4997131703,-8.20623794097
-122.463,328,90,-0.489057084235,-0.515717053625,-0.444299221014,0.000272833731371,-4.87414986421e-17,-2.2556672385,2.93467422999,0.999931488899,0.0106860178473,-0.707706917048,1.12503407449,0.0500655806121,-0.0165949,-2.15063,2.20543,0.502318,-0.0131101,3.86773,0.00167326,7.59375,1.0,0.000813926144047,-1.91680015655,-7.73946347615
-119.897,361,95,-0.463683989771,-0.503807608959,-0.388787263608,0.000923393177623,-2.46032803241e-17,-2.13496858856,2.74861974313,0.999930353772,-0.00791622307226,-0.837153690144,1.12752520291,0.0480000205357,0.0543517,-1.98063,2.26971,0.420767,-0.0086038,3.86223,0.00102813,5.0625,1.0,0.00530567924312,-0.975159585252,-6.2293381363
-120.754,346,100,-0.478059281508,-0.526252849455,-0.380706827437,0.0012192642482,6.16077516555e-17,-2.69327391396,2.73048652745,0.999953096473,-0.0167825759666,-0.941881505997,0.795706655222,0.0431544725314,-0.0209406,-2.22289,2.55589,0.456396,-0.0157835,3.84909,0.00337668,5.0625,1.0,0.00828222321411,-1.28726608104,-3.98585570653
-126.319,557,105,-0.425502860775,-0.525833951006,-0.279924438913,0.00475838274075,-1.27566020783e-17,-3.14814942036,2.34991882257,0.999959793468,-0.0466211393031,-0.830943980725,0.811466730917,0.045711718527,-0.0466348,-2.52693,2.04708,0.444782,-0.0103646,3.83579,0.00212465,5.0625,1.0,0.00316586579445,0.336400078904,-0.491101403916
